Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
"Le Louis XV - Alain Ducasse à l'Hôtel de Paris","Place du Casino, Monaco, 98000, France","Monaco, France","€€€€","Mediterranean Cuisine, Modern Cuisine",7.4271047,43.7391839,+37798068864,https://guide.michelin.com/en/monaco-region/monaco/restaurant/le-louis-xv-alain-ducasse-a-l-hotel-de-paris,https://www.ducasse-paris.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Valet parking,Wheelchair access","It is difficult to present the Louis XV without mentioning Alain Ducasse. You need a raft of superlatives to describe his impact. This native of Orthez (in southwest France) with an enduring love for the Mediterranean is a brilliant chef and businessman. Now a citizen of Monaco, he also heads up an empire of over 30 establishments with a presence on every continent. He was just 33 years old when he was awarded three stars at the Louis XV after reaching an astonishing standard. His famous vegetable-based ""Jardins de Provence"" set menu, which launched here in Monaco on 27 May 1987, has been one of the touchstones of French gastronomy for the last 30 years. Here, Alain Ducasse's signature style is brought to life by his loyal right-hand man, Emmanuel Pilon, in cuisine that masterfully celebrates the essence of the ingredients and the Mediterranean."
"L'Ambroisie","9 place des Vosges, Paris, 75004, France","Paris, France","€€€€","Classic Cuisine",2.3645215,48.855494,+33142785145,https://guide.michelin.com/en/ile-de-france/paris/restaurant/l-ambroisie,https://www.ambroisie-paris.com/,"3 Stars",0,"Air conditioning,Restaurant offering vegetarian menus","What to say of the creations of Bernard Pacaud, the quality of which is matched only by his modesty? He doesn't give much away, preferring to let his cooking do the talking. His restaurant occupies an almost Florentine residence on the Place des Vosges, decorated with antique mirrors, huge tapestries, black and white marble floors and stunning contemporary wall panels lit by red LEDs. Unaffected by fads, uncompromising about the excellence of his ingredients, he pursues his path – that of a meticulous artisan. His dishes may appear to be simple, but each element is placed with absolute conviction. Just let yourself be swept along: lobster fricassee with civet sauce and Saint-Germain mousseline; Grenoble-style sweetbreads, green asparagus, caper sabayon; tarte fine sablée with bitter cocoa and vanilla ice cream."
"Flocons de Sel","1775 route du Leutaz, Le Leutaz, Megève, 74120, France","Megève, France","€€€€","Modern Cuisine",6.5969625,45.8302404,+33450214999,https://guide.michelin.com/en/auvergne-rhone-alpes/megve/restaurant/flocons-de-sel,https://www.floconsdesel.com,"3 Stars",0,"Car park,Garden or park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access","(Temporarily closed, reopening planned for second half of 2025) Emmanuel Renaut fell in love with Haute Savoie as a child, long before achieving his Meilleur Ouvrier de France title, and his predilection for Alpine produce is deeply ingrained (pike, char and whitefish from Lake Geneva, mushrooms and wild herbs, mountain cheeses). At times he has fun subverting the regional cooking that is expected of him – a case in point being his superb langoustines marinated in citron, caviar with zesty grapefruit and gentian roots. Plants are also given an increasingly important role in his cuisine. An enchanting high-altitude chalet at the summit of fine dining."
"Épicure","Le Bristol, 112 rue du Faubourg-Saint-Honoré, Paris, 75008, France","Paris, France","€€€€","Modern Cuisine",2.3145978,48.8717223,+33153434340,https://guide.michelin.com/en/ile-de-france/paris/restaurant/epicure,https://www.oetkercollection.com/fr/hotels/le-bristol-paris/restaurants-et-bar/epicure/,"3 Stars",0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Valet parking,Wheelchair access","The Bristol is the quintessence of luxury from its lavish suites and spa to its manicured formal garden, rooftop pool and the dining area appointed with Louis XVI furnishings, mirrors, and tall French windows opening onto a lush green patio. Chef Arnaud Faye has brilliantly taken over the helm of the hotel’s fine dining venue with a light, delicate repertory that errs towards minimalist. Purity depicts each crisp legible flavour, further enhanced by generous helpings. The ingredients are of course irreproachable and the technique flawless, while the sauces feature a subtle blend of suave yet gutsy, without forgetting the art-directed plating or even the bread, which is made on the premises from heirloom varieties of wheat."
"Arpège","84 rue de Varenne, Paris, 75007, France","Paris, France","€€€€",Creative,2.3170127,48.8557538,+33147050906,https://guide.michelin.com/en/ile-de-france/paris/restaurant/arpege,https://www.alain-passard.com/,"3 Stars",1,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus","""The best cookbook ever written was by Mother Nature herself,"" according to Alain Passard. His name is associated with vegetables – and, for those in the know, a certain beetroot in a salt crust. He called it before anyone else with his 100% vegetable-based menu, initially considered radical. Nowadays, his green philosophy is de rigueur at every restaurant. Despite his success, the chef who fetes fruit and flowers never feels more at home than when in one of his three kitchen gardens in the west of France, where his twin vocations of cook and gardener meet. He heads there for inspiration, exploring the culinary possibilities of vegetables in a bid to elevate this ordinary ingredient so often relegated to the status of a side dish. A bucolic fresco references this environment in the restaurant's dining room."
"Le Pré Catelan","Route de Suresnes - bois de Boulogne, Paris, 75016, France","Paris, France","€€€€","Creative, Contemporary",2.2507182,48.8639374,+33144144114,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-pre-catelan,https://www.leprecatelan.com/,"3 Stars",0,"Air conditioning,Car park,Garden or park,Interesting wine list,Valet parking,Wheelchair access","How time flies! Frédéric Anton has been the chef of the Pré Catalan, the legendary Napoleon III lodge nestled in the Bois de Boulogne and refurbished by Pierre-Yves Rochon courtesy of designer furniture and a palette of green, white and silver tones, for over 25 years. Born in Nancy, this celebrity chef and Meilleur Ouvrier de France learned the ropes under Joël Robuchon. His tasting menu, which stars top-drawer produce (scallops, langoustine, salmon, caviar) is a masterclass of high-flying understatement and razor-sharp precision. His culinary score, which rises to a crescendo of pure perfection, bears witness to the chef’s experience and vision of fine dining. Not to be missed."
"Le Cinq","Four Seasons Hotel George V, 31 avenue George-V, Paris, 75008, France","Paris, France","€€€€","Modern Cuisine",2.3008612,48.8687604,+33149527154,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-cinq6102,https://www.fourseasons.com,"3 Stars",0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access","Unadulterated style and opulence - lofty columns, ornate mouldings and bouquets of fresh flowers, all bathed in soft light pouring in from the interior garden... It is here, in one of the most prestigious luxury hotels of Paris, that chef Christian Le Squer works his magic year after year, earning our greatest respect. His timeless cuisine, ever at the service of outstanding produce, unveils his virtuoso technique and phenomenal delicacy, illustrated by a foaming vin jaune-flavoured butter sauce served with lobster or the delicate cream of cauliflower that flanks sea urchin roe. This lad from Morbihan never ceases to pay tribute to his native Brittany in the heart of Paris, celebrating the region with ingredients like soured milk served with caviar and seabass or salted butter with lobster. On the dessert side, pastry wizard Michael Bartocetti composes a high-flying score inspired by nature, forgoing sugar in favour of fruit and honey. Finally, the service under the auspices of Eric Beaumard (also an outstanding sommelier) is a model of empathy and style that is close to perfection."
"Le Petit Nice","Anse de Maldormé, Marseille, 13007, France","Marseille, France","€€€€",Seafood,5.3520484,43.2802565,+33491592592,https://guide.michelin.com/en/provence-alpes-cote-dazur/marseille/restaurant/le-petit-nice,https://www.passedat.fr,"3 Stars",0,"Air conditioning,Car park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Wheelchair access","Le Petit Nice is inextricably linked to the city of Marseille and to Gérald Passedat's personality. The heir to a family of artists, the chef was practically born in this restaurant just a stone’s throw from the Mediterranean “that carries and inspires (me)”. The Mediterranean Sea, its fish and shellfish are the backbone of his culinary identity, whose fascinating facets come to the fore in his “Ma Bouille Abaisse”, a signature dish among signature dishes. As you begin to eat, you will appreciate the subtle progression of intense flavours of this bouillabaisse that is both familiar yet complex. After kicking off with a superb rosette of raw fish in a clear stock, the feast continues with other fish escorted by a more distinctive saffron stock, to end with a grand finale of whole cooked fish in a big-boned soupe de roche. Depending on the season, over 65 types of fish are used in the kitchen fished by small boats with long lines in respect of the marine ecosystem, which is only fitting given the establishment’s fantastic seafront location."
Kei,"5 rue du Coq-Héron, Paris, 75001, France","Paris, France","€€€€","Modern Cuisine, Creative",2.3422847,48.8643947,+33142331474,https://guide.michelin.com/en/ile-de-france/paris/restaurant/kei,https://www.restaurant-kei.fr/,"3 Stars",0,"Air conditioning,Interesting wine list","Kei for Kei Kobayashi, a chef born in Nagano, Japan, who trained with the likes of Gilles Goujon and Alain Ducasse. His father was a cook in a traditional kaiseki restaurant (where high-flying meals are served in small courses – akin to Western haute cuisine), but it was while watching a documentary on French cuisine that he found his vocation. Today, his work verges on perfection: a virtuoso blend of flavours and exquisite plating, he allows high-quality ingredients to shout their name simply and stunningly. For example, binchotan smoked royal langoustine sweet pepper seasoning or Vendée pigeon lacquered in red miso. Each dish is flawlessly crafted and supremely legible. The desserts also attain head-spinning heights of culinary excellence."
"L'Oustau de Baumanière","Mas de Baumanière, Les Baux-de-Provence, 13520, France","Les Baux-de-Provence, France","€€€€",Creative,4.7873628,43.7402659,+33490543307,https://guide.michelin.com/en/provence-alpes-cote-dazur/les-baux-de-provence/restaurant/l-oustau-de-baumaniere,http://www.baumaniere.com,"3 Stars",1,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Terrace,Valet parking,Wheelchair access","A tremendous ambassador of the Mediterranean art de vivre, the Provençal country estate of Baumanière promises a uniquely tranquil, bucolic and elegant experience – this location has captivated artists and celebrities for decades. Within these centuries-old walls, chef Glenn Viel (now a judge on French TV's Top Chef) is clearly enjoying an increasing sense of freedom in his cooking. He draws inspiration for his Mediterranean fare from the wealth of local produce (olive oil from the Vallée des Baux, organic vegetables from the estate's own garden, chicken and pork) but also remains true to the food culture of his native Brittany. The chef's cuisine (often served in ceramic tableware created on site) demonstrates his continual efforts to revive all the traditional methods of cooking over an open fire, expanding on the concept of thermal inertia, or ""carryover cooking"". The success of this approach is brilliantly illustrated by the incomparable textures of the fresh razor clams and the Costières squab in a hay and rosemary crust. Glenn Viel is a master saucier, enhancing his dishes with robust jus and intensely flavoured reductions – the ideal seasoning. His pursuit of authentic flavours is reflected in the original and decadent desserts of patissier Brandon Dehan; indeed, the pair share a strong bond. The remarkable service embraces the establishment's long-standing traditions. A 3 000-label-strong wine cellar."
